# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       5.170916654934e+01 
       2.350772107913e-05       1.118731710347e+02 
       3.654020024128e-05       1.708503926789e+02 
       4.965469873119e-05       2.293329082149e+02 
       6.288745637405e-05       2.877072693589e+02 
       7.627564016474e-05       3.462589005290e+02 
       8.985768334586e-05       4.052292031525e+02 
       1.036736397250e-04       4.648387933871e+02 
       1.177655578436e-04       5.252993766061e+02 
       1.321778796441e-04       5.868208466848e+02 
       1.469578682853e-04       6.496161855977e+02 
       1.621560696842e-04       7.139052173327e+02 
       1.778268121613e-04       7.799177979200e+02 
       1.940287481518e-04       8.478966798734e+02 
       2.108254412086e-04       9.181002746698e+02 
       2.282860003257e-04       9.908053213426e+02 
       2.464857617582e-04       1.066309592892e+03 
       2.655070157703e-04       1.144934595268e+03 
       2.854397717961e-04       1.227028251576e+03 
       3.063825500011e-04       1.312967530985e+03 
       3.284431797490e-04       1.403160954180e+03 
       3.517395755950e-04       1.498050788596e+03 
       3.764004487259e-04       1.598114793659e+03 
       4.025658960250e-04       1.703867276334e+03 
       4.303877902338e-04       1.815859093906e+03 
       4.600298737232e-04       1.934676231080e+03 
       4.916674368247e-04       2.060936510654e+03 
       5.254864425558e-04       2.195283883001e+03 
       5.616819476895e-04       2.338379740929e+03 
       6.004556721769e-04       2.490890857347e+03 
       6.420125931567e-04       2.653473462518e+03 
       6.865564946312e-04       2.826753522440e+03 
       7.342844955267e-04       3.011303452637e+03 
       7.853807074603e-04       3.207616092773e+03 
       8.400093291696e-04       3.416077599584e+03 
       8.983076443675e-04       3.636941036551e+03 
       9.603795189002e-04       3.870303393286e+03 
       1.026290051399e-03       4.116088586695e+03 
       1.096061986160e-03       4.374038534222e+03 
       1.169674336399e-03       4.643714240973e+03 
       1.247063410278e-03       4.924506892687e+03 
       1.328126131146e-03       5.215658316359e+03 
       1.412725263021e-03       5.516260968045e+03 
       1.500695952217e-03       5.825356094194e+03 
