# Matter power spectrum P(k) at redshift z=0
# for k=1.03961e-05 to 13.9165 h/Mpc,
# number of wavenumbers equal to 549
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.039609977471e-05       5.347010521886e+01 
       2.319095722733e-05       1.155092930556e+02 
       3.603025423457e-05       1.763208622366e+02 
       4.894807484163e-05       2.366125706407e+02 
       6.197905976575e-05       2.967780356435e+02 
       7.515871117816e-05       3.571066315485e+02 
       8.852370711232e-05       4.178421434729e+02 
       1.021122296285e-04       4.792066091056e+02 
       1.159643108966e-04       5.414124366768e+02 
       1.301222013934e-04       6.046696337862e+02 
       1.446307644153e-04       6.691907333508e+02 
       1.595379010616e-04       7.351945584600e+02 
       1.748950096763e-04       8.029093709691e+02 
       1.907574834033e-04       8.725757032468e+02 
       2.071852489065e-04       9.444490417122e+02 
       2.242433483185e-04       1.018802439539e+03 
       2.420025649508e-04       1.095929137448e+03 
       2.605400910284e-04       1.176145174016e+03 
       2.799402324436e-04       1.259792009794e+03 
       3.002951409599e-04       1.347239097667e+03 
       3.217055580821e-04       1.438886346232e+03 
       3.442815465670e-04       1.535166346313e+03 
       3.681431749122e-04       1.636546204312e+03 
       3.934211068863e-04       1.743528784401e+03 
       4.202570322041e-04       1.856653045700e+03 
       4.488038562500e-04       1.976493157479e+03 
       4.792255474388e-04       2.103655929011e+03 
       5.116965225900e-04       2.238776134872e+03 
       5.464004372002e-04       2.382509173044e+03 
       5.835282439696e-04       2.535520591276e+03 
       6.232753961265e-04       2.698472080412e+03 
       6.658381094595e-04       2.872003781090e+03 
       7.114086650089e-04       3.056712953826e+03 
       7.601698358072e-04       3.253129694006e+03 
       8.122886513773e-04       3.461690762992e+03 
       8.679098580840e-04       3.682713274546e+03 
       9.271495658526e-04       3.916370408778e+03 
       9.900896583778e-04       4.162671660701e+03 
       1.056773551527e-03       4.421449994677e+03 
       1.127203792618e-03       4.692357762713e+03 
       1.201341804715e-03       4.974872326374e+03 
       1.279109825853e-03       5.268311447873e+03 
       1.360394825218e-03       5.571844095913e+03 
       1.445053953976e-03       5.884525171543e+03 
       1.532920951564e-03       6.205381592593e+03 
       1.623812896495e-03       6.533368978047e+03 
       1.717536753543e-03       6.867429794635e+03 
       1.813895296106e-03       7.206519246201e+03 
       1.912692136122e-03       7.549626495271e+03 
       2.013735741420e-03       7.895790710957e+03 
       2.116842440477e-03       8.244112500969e+03 
       2.221838498128e-03       8.593760726044e+03 
       2.328561393747e-03       8.943976473777e+03 
       2.436860452076e-03       9.294072438793e+03 
