# Matter power spectrum P(k) at redshift z=0
# for k=1.05216e-05 to 13.9014 h/Mpc,
# number of wavenumbers equal to 548
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.052162017240e-05       4.732159910777e+01 
       2.350772107913e-05       1.032069874800e+02 
       3.654020024128e-05       1.583123291777e+02 
       4.965469873119e-05       2.131557389403e+02 
       6.288745637405e-05       2.680448845354e+02 
       7.627564016474e-05       3.232182334368e+02 
       8.985768334586e-05       3.788849335022e+02 
       1.036736397250e-04       4.352412978225e+02 
       1.177655578436e-04       4.924794536222e+02 
       1.321778796441e-04       5.507926921445e+02 
       1.469578682853e-04       6.103793234511e+02 
       1.621560696842e-04       6.714457603401e+02 
       1.778268121613e-04       7.342092497878e+02 
       1.940287481518e-04       7.989004089826e+02 
       2.108254412086e-04       8.657657390438e+02 
       2.282860003257e-04       9.350701022363e+02 
       2.464857617582e-04       1.007099273411e+03 
       2.655070157703e-04       1.082162514575e+03 
       2.854397717961e-04       1.160595159815e+03 
       3.063825500011e-04       1.242761167968e+03 
       3.284431797490e-04       1.329055574961e+03 
       3.517395755950e-04       1.419906665377e+03 
       3.764004487259e-04       1.515777726471e+03 
       4.025658960250e-04       1.617168152091e+03 
       4.303877902338e-04       1.724613545089e+03 
       4.600298737232e-04       1.838684454971e+03 
       4.916674368247e-04       1.959983320417e+03 
       5.254864425558e-04       2.089139074767e+03 
       5.616819476895e-04       2.226798870626e+03 
       6.004556721769e-04       2.373616520668e+03 
       6.420125931567e-04       2.530237173710e+03 
       6.865564946312e-04       2.697278264749e+03 
       7.342844955267e-04       2.875306946793e+03 
       7.853807074603e-04       3.064814783918e+03 
       8.400093291696e-04       3.266191291875e+03 
       8.983076443675e-04       3.479698044167e+03 
       9.603795189002e-04       3.705445990869e+03 
       1.026290051399e-03       3.943378481434e+03 
       1.096061986160e-03       4.193262051543e+03 
       1.169674336399e-03       4.454686895128e+03 
       1.247063410278e-03       4.727077068604e+03 
       1.328126131146e-03       5.009709853963e+03 
       1.412725263021e-03       5.301715622681e+03 
       1.500695952217e-03       5.602172189442e+03 
       1.591852910682e-03       5.910101806365e+03 
       1.685997597132e-03       6.224487346373e+03 
       1.782924870927e-03       6.544312707222e+03 
       1.882428759257e-03       6.868585653726e+03 
       1.984307149445e-03       7.196355923275e+03 
       2.088365365329e-03       7.526728592479e+03 
       2.194418694421e-03       7.858872134744e+03 
       2.302293998561e-03       8.192023731093e+03 
       2.411830570806e-03       8.525490606170e+03 
       2.522880404826e-03       8.858648303533e+03 
       2.635308029882e-03       9.190939033709e+03 
       2.748990042548e-03       9.521866635178e+03 
       2.863814441592e-03       9.850993915423e+03 
       2.979679848539e-03       1.017793561273e+04 
       3.096494675272e-03       1.050235539624e+04 
       3.214176282509e-03       1.082395994197e+04 
       3.332650158999e-03       1.114249557204e+04 
       3.451849140678e-03       1.145774314029e+04 
       3.571712681076e-03       1.176951129030e+04 
       3.692186178644e-03       1.207764121380e+04 
       3.813220362724e-03       1.238199465666e+04 
       3.934770737248e-03       1.268245866101e+04 
       4.056797079609e-03       1.297893410389e+04 
       4.179262991157e-03       1.327134287248e+04 
       4.302135495260e-03       1.355962148200e+04 
       4.425384678732e-03       1.384371667105e+04 
       4.548983372436e-03       1.412358937474e+04 
       4.672906867087e-03       1.439920679490e+04 
       4.797132660503e-03       1.467055424458e+04 
       4.921640232876e-03       1.493760347583e+04 
       5.046410846930e-03       1.520037307673e+04 
       5.171427370143e-03       1.545885325077e+04 
       5.296674116521e-03       1.571304637352e+04 
       5.422136705660e-03       1.596296358846e+04 
       5.547801937108e-03       1.620861674212e+04 
       5.673657678258e-03       1.645001957856e+04 
       5.799692764211e-03       1.668719804770e+04 
       5.925896908236e-03       1.692016748217e+04 
       6.052260621603e-03       1.714895683881e+04 
       6.178775141736e-03       1.737359726786e+04 
       6.305432367739e-03       1.759411203546e+04 
       6.432224802458e-03       1.781053056595e+04 
       6.559145500367e-03       1.802288998649e+04 
       6.686188020621e-03       1.823121725607e+04 
